timestamp,token,symbol,ltp,oi,volume,iv,bid,ask
2024-06-17 09:20:00,99926000,NIFTY,23412.55,0,2000000,0,23412.50,23412.60
2024-06-17 09:22:00,43210,NIFTY17JUN2423500CE,92.50,255000,1500,14.2,92.00,93.05
2024-06-17 09:24:00,43211,NIFTY17JUN2423500PE,110.25,310000,1800,15.3,109.75,110.80
2024-06-17 09:26:00,43212,NIFTY17JUN2423550CE,71.40,182000,1200,13.9,70.90,71.95
2024-06-17 09:28:00,43213,NIFTY17JUN2423450PE,88.60,272000,1400,15.6,88.10,89.15
2024-06-17 09:30:00,43214,NIFTY17JUN2423600CE,54.80,151000,1000,13.6,54.30,55.35
2024-06-17 09:32:00,43215,NIFTY17JUN2423400PE,70.45,224000,1100,15.9,69.95,71.00
2024-06-17 09:34:00,99926000,NIFTY,23448.30,0,2300000,0,23448.25,23448.35
2024-06-17 09:36:00,43210,NIFTY17JUN2423500CE,98.75,261000,2200,14.5,98.25,99.30
2024-06-17 09:38:00,43211,NIFTY17JUN2423500PE,104.50,318000,2500,15.0,104.00,105.05
2024-06-17 09:40:00,43212,NIFTY17JUN2423550CE,76.85,187000,1900,14.2,76.35,77.40
2024-06-17 09:42:00,43213,NIFTY17JUN2423450PE,83.25,278000,2100,15.2,82.75,83.80
2024-06-17 09:44:00,43214,NIFTY17JUN2423600CE,59.30,156000,1700,13.9,58.80,59.85
2024-06-17 09:46:00,43215,NIFTY17JUN2423400PE,65.90,230000,1800,15.5,65.40,66.45
2024-06-17 09:48:00,99926000,NIFTY,23481.75,0,2600000,0,23481.70,23481.80
2024-06-17 09:50:00,43210,NIFTY17JUN2423500CE,96.00,268000,3100,14.3,95.50,96.55
2024-06-17 09:52:00,43211,NIFTY17JUN2423500PE,98.75,325000,3300,14.8,98.25,99.30
2024-06-17 09:54:00,43212,NIFTY17JUN2423550CE,74.20,193000,2700,14.0,73.70,74.75
2024-06-17 09:56:00,43213,NIFTY17JUN2423450PE,78.90,285000,2900,14.9,78.40,79.45
2024-06-17 09:58:00,43214,NIFTY17JUN2423600CE,57.10,162000,2400,13.7,56.60,57.65
2024-06-17 10:00:00,43215,NIFTY17JUN2423400PE,61.75,237000,2600,15.1,61.25,62.30
2024-06-17 10:02:00,99926000,NIFTY,23519.40,0,2900000,0,23519.35,23519.45
2024-06-17 10:04:00,43210,NIFTY17JUN2423500CE,118.50,274000,4000,15.1,118.00,119.05
2024-06-17 10:06:00,43211,NIFTY17JUN2423500PE,91.20,333000,4200,14.4,90.70,91.75
2024-06-17 10:08:00,43212,NIFTY17JUN2423550CE,92.60,199000,3600,14.9,92.10,93.15
2024-06-17 10:10:00,43213,NIFTY17JUN2423450PE,72.45,291000,3800,14.5,71.95,73.00
2024-06-17 10:12:00,43214,NIFTY17JUN2423600CE,72.95,168000,3300,14.6,72.45,73.50
2024-06-17 10:14:00,43215,NIFTY17JUN2423400PE,55.30,243000,3500,14.7,54.80,55.85
2024-06-17 10:16:00,99926000,NIFTY,23552.10,0,3200000,0,23552.05,23552.15
2024-06-17 10:18:00,43210,NIFTY17JUN2423500CE,162.25,281000,5200,16.4,161.75,162.80
2024-06-17 10:20:00,43211,NIFTY17JUN2423500PE,84.60,341000,5400,14.1,84.10,85.15
2024-06-17 10:22:00,43212,NIFTY17JUN2423550CE,128.45,205000,4700,16.1,127.95,129.00
2024-06-17 10:24:00,43213,NIFTY17JUN2423450PE,66.80,298000,5000,14.2,66.30,67.35
2024-06-17 10:26:00,43214,NIFTY17JUN2423600CE,104.60,174000,4400,15.8,104.10,105.15
2024-06-17 10:28:00,43215,NIFTY17JUN2423400PE,49.85,250000,4600,14.3,49.35,50.40
2024-06-17 10:30:00,99926000,NIFTY,23578.85,0,3500000,0,23578.80,23578.90
2024-06-17 10:32:00,43210,NIFTY17JUN2423500CE,75.50,289000,6300,13.8,75.00,76.05
2024-06-17 10:34:00,43211,NIFTY17JUN2423500PE,79.95,349000,6600,13.7,79.45,80.50
2024-06-17 10:36:00,43212,NIFTY17JUN2423550CE,58.75,212000,5900,13.5,58.25,59.30
2024-06-17 10:38:00,43213,NIFTY17JUN2423450PE,62.30,305000,6100,13.8,61.80,62.85
2024-06-17 10:40:00,43214,NIFTY17JUN2423600CE,44.25,181000,5500,13.2,43.75,44.80
2024-06-17 10:42:00,43215,NIFTY17JUN2423400PE,45.60,257000,5700,13.9,45.10,46.15
2024-06-17 10:44:00,99926000,NIFTY,23597.25,0,3800000,0,23597.20,23597.30
2024-06-17 10:46:00,43210,NIFTY17JUN2423500CE,95.00,296000,7500,14.6,94.50,95.55
2024-06-17 10:48:00,43211,NIFTY17JUN2423500PE,74.30,356000,8200,13.4,73.80,74.85
2024-06-17 10:50:00,43212,NIFTY17JUN2423550CE,73.10,218000,6800,14.3,72.60,73.65
2024-06-17 10:52:00,43213,NIFTY17JUN2423450PE,57.95,312000,7200,13.5,57.45,58.50
2024-06-17 10:54:00,43214,NIFTY17JUN2423600CE,56.80,187000,6200,14.0,56.30,57.35
2024-06-17 10:56:00,43215,NIFTY17JUN2423400PE,41.20,264000,6500,13.6,40.70,41.75
2024-06-17 10:58:00,99926000,NIFTY,23589.60,0,4100000,0,23589.55,23589.65
